Văn Giang,tt,33,326,12019
Xuân Quan,x,33,326,12022
Cửu Cao,x,33,326,12025
Phụng Công,x,33,326,12028
Nghĩa Trụ,x,33,326,12031
Long Hưng,x,33,326,12034
Vĩnh Khúc,x,33,326,12037
Liên Nghĩa,x,33,326,12040
Tân Tiến,x,33,326,12043
Thắng Lợi,x,33,326,12046
Mễ Sở,x,33,326,12049
Yên Mỹ,tt,33,327,12052
Giai Phạm,x,33,327,12055
Nghĩa Hiệp,x,33,327,12058
Đồng Than,x,33,327,12061
Ngọc Long,x,33,327,12064
Liêu Xá,x,33,327,12067
Hoàn Long,x,33,327,12070
Tân Lập,x,33,327,12073
Thanh Long,x,33,327,12076
Yên Phú,x,33,327,12079
Việt Cường,x,33,327,12082
Trung Hòa,x,33,327,12085
Yên Hòa,x,33,327,12088
Minh Châu,x,33,327,12091
Trung Hưng,x,33,327,12094
Lý Thường Kiệt,x,33,327,12097
Tân Việt,x,33,327,12100
Bần Yên Nhân,p,33,328,12103
Phan Đình Phùng,p,33,328,12106
Cẩm Xá,x,33,328,12109
Dương Quang,x,33,328,12112
Hòa Phong,x,33,328,12115
Nhân Hòa,p,33,328,12118
Dị Sử,p,33,328,12121
Bạch Sam,p,33,328,12124
Minh Đức,p,33,328,12127
Phùng Chí Kiên,p,33,328,12130
Xuân Dục,x,33,328,12133
Ngọc Lâm,x,33,328,12136
Hưng Long,x,33,328,12139
Ân Thi,tt,33,329,12142
Phù Ủng,x,33,329,12145
Bắc Sơn,x,33,329,12148
Bãi Sậy,x,33,329,12151
Đào Dương,x,33,329,12154
Tân Phúc,x,33,329,12157
Vân Du,x,33,329,12160
Quang Vinh,x,33,329,12163
Xuân Trúc,x,33,329,12166
Hoàng Hoa Thám,x,33,329,12169
Quảng Lãng,x,33,329,12172
Văn Nhuệ,x,33,329,12175
Đặng Lễ,x,33,329,12178
Cẩm Ninh,x,33,329,12181
Nguyễn Trãi,x,33,329,12184
Đa Lộc,x,33,329,12187
Hồ Tùng Mậu,x,33,329,12190
Tiền Phong,x,33,329,12193
Hồng Vân,x,33,329,12196
Hồng Quang,x,33,329,12199
Hạ Lễ,x,33,329,12202
Khoái Châu,tt,33,330,12205
